id,product_category,product_subcategory,quantity_kg,unit_price_initial,days_until_expiry,storage_condition,packaging_type,collection_datetime,day_of_week,month_of_year,season,is_holiday,pickup_store_id,pickup_city,distance_to_partner_km,partner_id_destination,partner_storage_capacity,partner_typical_demand,weather_temperature,rainfall_mm,time_to_sell_hours,was_sold,final_discount_rate,wastage_reason,partner_satisfaction_score
1,Boulangerie,Viennoiserie,78.5,1.33,1,Ambiante,Plastique,2024-07-23 22:00:00,Tuesday,7,Pluies,0,S017,Abidjan,14.3,P020,899,718.6,32.0,12.0,11.8,1,31.3,,4
2,Produits Laitiers,Fromage,14.8,2.28,4,Frais,Vrac,2025-02-03 14:00:00,Monday,2,Sèche,0,S016,Bouaké,37.0,P016,185,234.8,25.1,4.5,22.2,1,46.7,,4
3,Fruits & Légumes,Légumes racines,30.7,1.53,3,Frais,Vrac,2024-03-26 03:00:00,Tuesday,3,Sèche,1,S024,San-Pédro,8.2,P004,1544,474.0,31.4,9.9,16.2,1,31.4,,4
4,Fruits & Légumes,Légumes racines,36.9,1.44,2,Frais,Carton,2024-02-01 20:00:00,Thursday,2,Sèche,0,S037,Abidjan,37.0,P006,133,127.2,31.5,15.0,14.5,1,71.8,,2
5,Viande & Poisson,Volaille,21.5,5.07,1,Frais,Plastique,2024-11-24 16:00:00,Sunday,11,Sèche,0,S029,Yamoussoukro,44.0,P005,1669,44.8,27.8,4.2,13.4,1,79.4,,4
6,Boulangerie,Pain,53.5,1.89,1,Ambiante,Carton,2024-01-12 23:00:00,Friday,1,Sèche,0,S007,Yamoussoukro,7.8,P008,274,391.5,36.1,2.6,20.9,0,74.1,Refusé par partenaire (qualité),1
7,Viande & Poisson,Poisson frais,19.3,4.48,1,Frais,Carton,2025-03-30 05:00:00,Sunday,3,Sèche,0,S005,Korhogo,4.3,P024,1727,656.7,27.8,5.8,20.3,0,55.0,Périmé avant collecte partenaire,1
8,Fruits & Légumes,Fruits à coque,31.9,1.0,3,Frais,Carton,2024-04-09 04:00:00,Tuesday,4,Pluies,1,S032,Korhogo,19.1,P005,143,667.8,30.1,7.5,20.0,1,73.0,,4
9,Produits Laitiers,Beurre,24.4,1.83,2,Frais,Plastique,2024-06-15 12:00:00,Saturday,6,Pluies,0,S010,Korhogo,42.9,P019,351,467.2,33.4,13.1,32.2,0,85.6,Surstock partenaire (capacité pleine),1
10,Produits Laitiers,Fromage,23.5,2.27,3,Frais,Vrac,2024-08-23 06:00:00,Friday,8,Pluies,0,S004,Abidjan,8.7,P025,273,506.0,27.1,1.8,36.6,0,75.3,Surstock partenaire (capacité pleine),1
11,Épicerie Sèche,Céréales,78.0,1.75,58,Sec,Plastique,2024-11-30 03:00:00,Saturday,11,Sèche,0,S010,Abidjan,39.3,P024,126,533.1,30.8,7.5,246.6,1,50.3,,4
12,Fruits & Légumes,Fruits à noyau,160.5,1.45,1,Frais,Plastique,2024-06-08 08:00:00,Saturday,6,Pluies,0,S021,Yamoussoukro,10.5,P023,688,37.0,35.4,1.0,16.2,0,55.1,Refusé par partenaire (qualité),2
13,Fruits & Légumes,Légumes feuilles,10.5,0.97,1,Frais,Sachet,2024-09-06 18:00:00,Friday,9,Pluies,0,S039,San-Pédro,43.7,P001,1966,431.0,31.7,7.5,10.7,1,41.5,,3
14,Boulangerie,Pain,15.9,1.63,1,Ambiante,Plastique,2024-04-19 12:00:00,Friday,4,Pluies,0,S020,San-Pédro,29.9,P018,894,240.9,26.1,1.7,12.0,1,35.3,,3
15,Surgelés,Légumes surgelés,18.4,3.21,22,Surgelé,Carton,2024-11-19 01:00:00,Tuesday,11,Sèche,0,S023,Abidjan,1.4,P016,667,550.6,29.3,0.7,106.1,1,68.6,,3
16,Épicerie Sèche,Pâtes,9.1,2.26,65,Sec,Sachet,2024-11-27 04:00:00,Wednesday,11,Sèche,0,S038,Bouaké,21.0,P009,1668,158.3,26.9,6.2,298.1,1,49.2,,3
17,Fruits & Légumes,Fruits à noyau,23.6,1.14,1,Frais,Vrac,2024-02-05 22:00:00,Monday,2,Sèche,0,S001,Abidjan,43.8,P014,135,794.6,29.4,1.2,12.9,1,68.9,,4
18,Épicerie Sèche,Céréales,23.4,1.71,27,Sec,Plastique,2025-06-11 19:00:00,Wednesday,6,Pluies,0,S030,Yamoussoukro,29.3,P016,656,82.2,27.9,3.3,147.6,1,76.2,,5
19,Viande & Poisson,Volaille,20.2,4.74,1,Frais,Vrac,2024-06-15 02:00:00,Saturday,6,Pluies,0,S024,Yamoussoukro,24.4,P014,1238,165.3,22.0,9.0,10.0,1,30.5,,2
20,Surgelés,Légumes surgelés,34.2,3.55,37,Surgelé,Vrac,2025-01-08 10:00:00,Wednesday,1,Sèche,0,S023,Yamoussoukro,39.2,P002,1075,387.1,26.3,6.2,377.8,0,56.6,Surstock partenaire (capacité pleine),2
21,Produits Laitiers,Yaourt,47.8,2.52,5,Frais,Vrac,2024-03-07 11:00:00,Thursday,3,Sèche,1,S035,Yamoussoukro,28.8,P011,1847,745.3,33.1,4.4,15.7,1,40.7,,4
22,Viande & Poisson,Boeuf,9.2,4.58,2,Frais,Carton,2024-01-19 21:00:00,Friday,1,Sèche,0,S001,Abidjan,6.2,P020,1156,762.8,34.7,6.8,15.3,1,65.0,,4
23,Épicerie Sèche,Riz,19.4,1.54,57,Sec,Carton,2024-05-21 15:00:00,Tuesday,5,Pluies,0,S031,Korhogo,16.3,P009,1796,277.3,29.5,0.5,305.0,1,54.6,,4
24,Boulangerie,Pain,38.9,1.65,1,Ambiante,Vrac,2024-06-19 12:00:00,Wednesday,6,Pluies,0,S034,Bouaké,20.3,P005,627,291.8,31.2,5.3,20.5,0,70.1,Problème logistique / retard transport,2
25,Fruits & Légumes,Légumes feuilles,40.8,1.29,1,Frais,Plastique,2024-10-25 04:00:00,Friday,10,Pluies,0,S038,Abidjan,35.8,P015,1938,411.2,28.4,0.7,12.0,1,71.5,,5
